user_id,product_id,event,timestamp
u5,p36,purchase,2025-10-21 17:15:00
u7,p46,view,2025-10-27 02:48:00
u1,p6,view,2025-10-11 23:10:00
u2,p10,view,2025-10-22 22:22:00
u4,p33,view,2025-10-12 19:23:00
u7,p46,view,2025-10-03 11:48:00
u8,p49,view,2025-10-15 14:07:00
u7,p48,add_to_cart,2025-10-20 11:11:00
u3,p6,view,2025-10-13 13:23:00
u1,p8,view,2025-10-13 00:15:00
u3,p31,add_to_cart,2025-10-17 23:57:00
u1,p6,view,2025-10-21 07:47:00
u7,p49,view,2025-10-10 23:59:00
u1,p5,view,2025-10-02 16:47:00
u3,p15,view,2025-10-11 05:57:00
u3,p17,view,2025-10-12 16:25:00
u4,p9,view,2025-10-26 14:39:00
u6,p28,purchase,2025-10-08 09:19:00
u6,p29,add_to_cart,2025-10-13 02:45:00
u7,p49,view,2025-10-15 21:58:00
u1,p3,view,2025-10-10 19:30:00
u5,p12,purchase,2025-10-10 17:43:00
u1,p4,view,2025-10-25 14:54:00
u3,p18,add_to_cart,2025-10-21 12:45:00
u3,p33,add_to_cart,2025-10-09 10:16:00
u3,p12,view,2025-10-22 17:53:00
u7,p50,purchase,2025-10-27 05:42:00
u5,p36,view,2025-10-14 05:36:00
u8,p1,add_to_cart,2025-11-03 07:06:00
u1,p12,purchase,2025-10-23 01:51:00
u7,p47,add_to_cart,2025-10-24 16:58:00
u5,p38,view,2025-10-23 05:24:00
u7,p49,view,2025-11-05 20:01:00
u5,p13,add_to_cart,2025-11-02 14:31:00
u2,p7,purchase,2025-10-12 18:43:00
u7,p50,view,2025-10-21 03:28:00
u2,p7,view,2025-10-15 08:57:00
u1,p1,view,2025-10-17 11:03:00
u8,p42,view,2025-10-14 21:55:00
u8,p49,wishlist,2025-10-10 04:05:00
u2,p3,view,2025-10-09 15:43:00
u6,p28,view,2025-10-20 04:56:00
u6,p27,add_to_cart,2025-10-05 21:22:00
u7,p46,purchase,2025-10-08 09:28:00
u4,p11,view,2025-10-16 21:49:00
u1,p10,view,2025-10-24 13:37:00
u3,p31,view,2025-10-16 18:01:00
u7,p49,view,2025-11-01 07:01:00
u1,p2,view,2025-10-11 19:24:00
u1,p4,view,2025-10-05 20:58:00
u3,p19,view,2025-10-24 00:08:00
u5,p12,view,2025-10-26 11:22:00
u8,p39,view,2025-10-20 20:23:00
u7,p49,view,2025-10-21 22:43:00
u2,p2,view,2025-10-13 21:00:00
u2,p7,purchase,2025-10-08 22:56:00
u8,p7,view,2025-10-22 04:18:00
u3,p9,view,2025-10-12 21:46:00
u7,p47,view,2025-10-30 10:10:00
u2,p8,view,2025-10-13 09:10:00
u3,p7,view,2025-10-15 15:58:00
u4,p19,view,2025-10-21 16:42:00
u4,p12,view,2025-10-13 00:00:00
u7,p48,view,2025-10-23 09:48:00
u5,p33,view,2025-10-20 06:13:00
u2,p1,view,2025-10-25 17:21:00
u6,p28,view,2025-10-22 09:32:00
u6,p28,view,2025-10-20 18:54:00
u8,p2,view,2025-10-16 06:15:00
u7,p48,view,2025-10-02 04:09:00
u4,p16,purchase,2025-10-22 07:24:00
u1,p6,view,2025-10-16 15:58:00
